Date, AQI_Value,Main_Pollutant,Site_Name,Site_ID,Source
1/1/2019,23,PM2.5,Sycamore,39-061-0006,AQS
1/2/2019,48,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/3/2019,56,PM2.5,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
1/4/2019,59,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/5/2019,45,PM2.5,Taft NCore,39-061-0040,AQS
1/6/2019,66,PM2.5,BPG,39-017-0022,AQS
1/7/2019,38,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/8/2019,31,Ozone,Taft NCore,39-061-0040,AQS
1/9/2019,26,PM2.5,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
1/10/2019,53,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/11/2019,67,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/12/2019,62,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/13/2019,62,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/14/2019,66,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/15/2019,81,PM2.5,Yankee,39-017-0020,AQS
1/16/2019,56,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/17/2019,57,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/18/2019,52,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/19/2019,34,Ozone,Oxford,39-017-9991,AQS
1/20/2019,36,Ozone,Oxford,39-017-9991,AQS
1/21/2019,54,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/22/2019,38,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/23/2019,34,NO2,Cincinnati Near Road,39-061-0048,AQS
1/24/2019,54,PM2.5,Taft NCore,39-061-0040,AQS
1/25/2019,33,Ozone,Oxford,39-017-9991,AQS
1/26/2019,37,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/27/2019,50,PM2.5,Yankee,39-017-0020,AQS
1/28/2019,43,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/29/2019,37,PM2.5,Cincinnati Near Road,39-061-0048,AQS
1/30/2019,35,PM2.5,Yankee,39-017-0020,AQS
1/31/2019,39,PM2.5,Colerain,39-061-0010,AQS
2/1/2019,73,PM2.5,Cincinnati Near Road,39-061-0048,AQS
2/2/2019,90,PM2.5,Sacred Heart Elem,39-017-0016,AQS
2/3/2019,74,PM2.5,Cincinnati Near Road,39-061-0048,AQS
2/4/2019,69,PM2.5,Cincinnati Near Road,39-061-0048,AQS
2/5/2019,74,PM2.5,Cincinnati Near Road,39-061-0048,AQS
2/6/2019,51,PM2.5,Cincinnati Near Road,39-061-0048,AQS
2/7/2019,47,PM2.5,Cincinnati Near Road,39-061-0048,AQS
2/8/2019,31,Ozone,Oxford,39-017-9991,AQS
2/9/2019,38,PM2.5,Cincinnati Near Road,39-061-0048,AQS
