Date, AQI_Value,Main_Pollutant,Site_Name,Site_ID,Source
1/1/2019,39,PM2.5,GT Craig NCore,39-035-0060,AQS
1/2/2019,55,PM2.5,GT Craig NCore,39-035-0060,AQS
1/3/2019,48,PM2.5,GT Craig NCore,39-035-0060,AQS
1/4/2019,66,PM2.5,GT Craig NCore,39-035-0060,AQS
1/5/2019,83,PM2.5,GT Craig NCore,39-035-0060,AQS
1/6/2019,43,PM2.5,GT Craig NCore,39-035-0060,AQS
1/7/2019,36,PM2.5,GT Craig NCore,39-035-0060,AQS
1/8/2019,40,PM2.5,GT Craig NCore,39-035-0060,AQS
1/9/2019,54,PM2.5,Cleveland Fire St13,39-035-0045,AQS
1/10/2019,32,Ozone,GT Craig NCore,39-035-0060,AQS
1/11/2019,41,PM2.5,Chippewa,39-103-0004,AQS
1/12/2019,53,PM2.5,GT Craig NCore,39-035-0060,AQS
1/13/2019,38,PM2.5,Chippewa,39-103-0004,AQS
1/14/2019,48,PM2.5,Cleveland Near Road,39-035-0073,AQS
1/15/2019,76,PM2.5,GT Craig NCore,39-035-0060,AQS
1/16/2019,50,PM2.5,GT Craig NCore,39-035-0060,AQS
1/17/2019,64,PM2.5,GT Craig NCore,39-035-0060,AQS
1/18/2019,78,PM2.5,GT Craig NCore,39-035-0060,AQS
1/19/2019,54,PM2.5,GT Craig NCore,39-035-0060,AQS
1/20/2019,35,PM2.5,GT Craig NCore,39-035-0060,AQS
1/21/2019,36,PM2.5,GT Craig NCore,39-035-0060,AQS
1/22/2019,60,PM2.5,GT Craig NCore,39-035-0060,AQS
1/23/2019,51,PM2.5,GT Craig NCore,39-035-0060,AQS
1/24/2019,54,PM2.5,GT Craig NCore,39-035-0060,AQS
1/25/2019,56,PM2.5,GT Craig NCore,39-035-0060,AQS
1/26/2019,59,PM2.5,GT Craig NCore,39-035-0060,AQS
1/27/2019,65,PM2.5,Harvard Yards,39-035-0065,AQS
1/28/2019,70,PM2.5,GT Craig NCore,39-035-0060,AQS
1/29/2019,52,PM2.5,GT Craig NCore,39-035-0060,AQS
1/30/2019,54,PM2.5,St Theodosius,39-035-0038,AQS
1/31/2019,40,PM2.5,GT Craig NCore,39-035-0060,AQS
2/1/2019,68,PM2.5,GT Craig NCore,39-035-0060,AQS
2/2/2019,90,PM2.5,St Theodosius,39-035-0038,AQS
2/3/2019,97,PM2.5,GT Craig NCore,39-035-0060,AQS
2/4/2019,46,PM2.5,Chippewa,39-103-0004,AQS
2/5/2019,46,PM2.5,GT Craig NCore,39-035-0060,AQS
2/6/2019,62,PM2.5,GT Craig NCore,39-035-0060,AQS
2/7/2019,52,PM2.5,GT Craig NCore,39-035-0060,AQS
2/8/2019,33,PM2.5,GT Craig NCore,39-035-0060,AQS
2/9/2019,36,PM2.5,GT Craig NCore,39-035-0060,AQS
2/10/2019,60,PM2.5,GT Craig NCore,39-035-0060,AQS
2/11/2019,76,PM2.5,GT Craig NCore,39-035-0060,AQS
2/12/2019,37,PM2.5,GT Craig NCore,39-035-0060,AQS
2/13/2019,44,PM2.5,Cleveland Near Road,39-035-0073,AQS
2/14/2019,57,PM2.5,St Theodosius,39-035-0038,AQS
2/15/2019,55,PM2.5,GT Craig NCore,39-035-0060,AQS
2/16/2019,32,Ozone,GT Craig NCore,39-035-0060,AQS
2/17/2019,32,PM2.5,Cleveland Near Road,39-035-0073,AQS
2/18/2019,37,PM2.5,Cleveland Near Road,39-035-0073,AQS
2/19/2019,59,PM2.5,Chippewa,39-103-0004,AQS
2/20/2019,52,PM2.5,St Theodosius,39-035-0038,AQS
2/21/2019,51,PM2.5,GT Craig NCore,39-035-0060,AQS
2/22/2019,77,PM2.5,GT Craig NCore,39-035-0060,AQS
2/23/2019,67,PM2.5,Harvard Yards,39-035-0065,AQS
2/24/2019,41,Ozone,GT Craig NCore,39-035-0060,AQS
2/25/2019,33,PM2.5,GT Craig NCore,39-035-0060,AQS
2/26/2019,35,PM2.5,GT Craig NCore,39-035-0060,AQS
2/27/2019,49,PM2.5,GT Craig NCore,39-035-0060,AQS
2/28/2019,60,PM2.5,GT Craig NCore,39-035-0060,AQS
3/1/2019,61,PM2.5,GT Craig NCore,39-035-0060,AQS
3/2/2019,71,PM2.5,GT Craig NCore,39-035-0060,AQS
3/3/2019,52,PM2.5,Chippewa,39-103-0004,AQS
3/4/2019,44,PM10,Cleveland Fire St13,39-035-0045,AQS
3/5/2019,52,PM2.5,GT Craig NCore,39-035-0060,AQS
3/6/2019,48,PM2.5,Cleveland Near Road,39-035-0073,AQS
3/7/2019,53,PM2.5,Cleveland Fire St13,39-035-0045,AQS
3/8/2019,87,PM2.5,GT Craig NCore,39-035-0060,AQS
3/9/2019,80,PM2.5,GT Craig NCore,39-035-0060,AQS
