OBJECTID,Tree cover per capita (m2/person),Green space per capita (m2/person),Percent tree cover,Percent green space,Particulate matter [PM2.5] (kg/yr),Percent particulate matter [PM2.5] removed annually by tree cover
1377,43,88,14,29,15,6.48219343635
1378,48,103,20,44,18,8.9629971271
1380,14,42,6,18,11,2.75195917526
1386,158,514,9,31,49,4.31090090029
1387,79,119,20,31,18,8.86728652665
1388,98,176,29,52,32,12.440220694599999
1389,106,234,24,53,36,10.4432641258
1390,109,237,22,49,43,9.821490204749999
1391,94,201,24,52,33,10.543828437
1392,93,216,20,47,35,8.82691348609
1393,130,262,25,51,50,10.8690632888
1394,166,347,20,43,44,9.03949647664
1395,44,104,14,33,6,6.386754153189999
1396,176,734,8,34,36,3.6697887308699997
1397,87,195,17,38,19,7.45076822717
1398,38,91,15,37,10,6.91939811553
1399,81,166,23,48,27,10.177074104699999
1400,151,417,17,47,47,7.46687241791
1401,135,296,22,50,33,9.88724147461
1402,55,117,15,32,13,6.72919107604
1403,40,95,15,35,8,6.5979271722499995
1404,193,789,4,20,50,2.22896543878
1405,44,111,17,42,11,7.45777435827
1406,71,173,14,36,20,6.52751565482
1407,34,80,18,44,8,8.220727819139999
1408,48,127,17,44,7,7.49001806982
1409,39,106,17,47,11,7.614863875410001
1410,67,160,21,50,16,9.12461240371
1419,210,337,39,63,61,16.396602904
1420,58,123,26,55,13,11.2628904255
1421,49,114,21,50,18,9.378044664719999
1422,36,101,16,45,8,7.0999956819199985
1423,53,110,25,53,13,11.1279560943
1424,56,121,21,46,27,9.27709850322
1425,43,94,24,53,9,10.6708020022
1426,239,605,27,69,91,11.8368199114
1427,332,593,25,46,77,11.116648046800002
1428,37,89,21,50,7,9.2255525731
1429,111,232,26,55,64,11.482486830600001
1430,178,322,38,68,113,15.9874209638
1431,38,111,17,49,13,7.5402557363
1432,109,342,22,70,42,9.79226893918
1433,78,277,11,41,26,5.178660076880001
1434,63,250,14,58,25,6.594637613640001
1441,297,407,45,62,160,18.6363588545
1442,41,99,20,48,20,8.754820546060001
1447,37,105,10,30,7,4.8446086242
1448,45,122,15,42,11,6.989090653489999
1449,54,163,16,49,23,7.251122895260001
1451,33,83,18,44,13,7.92105865569
1452,32,78,15,36,22,6.73111411828
1453,108,225,30,63,26,13.016164547299999
1454,112,256,26,61,51,11.5989299603
1455,101,209,28,58,28,12.206340193900001
1456,79,184,23,55,26,10.2692126578
1457,320,1029,18,59,200,8.16705435744
1458,36,405,3,40,58,1.67943799165
1459,55,202,4,16,29,2.02090198366
1460,34,79,7,18,6,3.5552517817099996
1461,59,150,5,13,8,2.32884044341
1462,25,63,6,16,28,2.9800560376300003
1463,108,393,7,28,31,3.5181570174400005
1464,112,318,6,18,24,2.91542163525
1465,58,143,11,28,9,5.084326525640001
1466,106,284,6,18,24,3.03794396695
1467,38,76,12,24,8,5.50520604722
1468,48,125,13,33,9,5.75438997693
1469,56,124,10,24,14,4.84883550454
1470,85,303,9,32,33,4.10947220948
1471,14,59,10,42,9,4.66746280124
1472,26,46,17,30,15,7.55160701482
1473,51,158,12,38,36,5.540741222059999
1474,15,107,3,26,9,1.7158414637400001
1475,4,65,2,43,0,1.3209019931600001
1476,34,135,8,34,24,3.88288646705
1477,237,878,10,37,38,4.53936459917
1478,75,205,15,40,12,6.65153357374
1479,67,197,15,45,13,6.863071559259999
1480,117,314,18,48,34,7.90758155385
1481,211,646,7,23,73,3.3905718079800002
1482,76,154,25,51,22,11.0714812784
1483,70,157,18,41,37,8.18588657547
1484,338,1359,8,35,39,3.9287552525300002
1485,924,1949,29,63,158,12.6447623028
1486,53,146,11,32,13,5.2632593161
1487,56,120,23,48,12,9.915931621230001
1488,279,506,35,64,68,14.844586475900002
1489,51,114,22,48,10,9.58021997817
1490,63,131,20,43,15,8.98730878359
1491,47,100,21,44,11,9.16874337421
1492,100,201,25,51,17,11.0420032438
1493,76,159,27,57,17,11.8600785698
1494,74,158,25,55,22,11.050925482000002
1495,62,156,20,51,10,8.89655683142
1496,83,195,24,57,13,10.4763268397
1497,201,358,36,64,63,15.100147551400001
1498,151,279,33,61,43,14.078745502199999
1499,60,134,24,53,22,10.3466879794
1500,81,171,26,56,16,11.412183643699999
1501,89,220,21,52,26,9.224875998919998
1502,84,224,22,59,29,9.65450007194
1503,70,243,10,38,13,4.86276532881
1504,94,203,28,61,20,12.0595786802
1505,156,468,20,60,35,8.76843161169
1506,106,221,25,53,24,11.0169341122
1507,84,192,23,54,21,10.2895359723
1508,99,198,27,54,15,11.698024577199998
1509,59,155,22,59,14,9.868473769580001
1510,105,278,19,50,40,8.249334797589999
1511,132,405,7,24,26,3.5714939158300005
1512,210,738,10,35,33,4.55515920127
1513,106,224,26,55,48,11.2725104509
1514,135,304,17,38,56,7.60367983126
1515,175,399,27,62,61,11.7304688358
1516,34,127,10,38,11,4.64365602838
1517,721,1828,24,63,56,10.698566273399999
1518,151,396,21,56,64,9.325220195280002
1519,51,149,18,54,37,8.209304822760002
1520,305,740,21,51,61,9.18012113776
1521,837,2137,23,61,90,10.368758051000002
1522,370,1181,14,47,77,6.5850093563000005
1523,249,539,20,43,67,8.79457777268
1524,149,332,17,37,32,7.46269323339
1525,733,1547,25,52,66,10.7935799136
1526,96,225,21,49,22,9.220938241910002
1527,136,316,25,58,20,10.895857687500001
1528,56,156,17,48,9,7.640622238520001
1529,75,219,20,59,21,8.997159659280001
1530,50,116,21,48,25,9.192704005669999
1531,60,156,16,43,21,7.415157522089999
1532,134,414,11,35,47,5.11528912649
1533,48,101,23,48,15,10.0756782438
1534,105,223,28,60,57,12.2911050233
1535,45,104,18,42,11,8.07458051523
1536,107,248,11,25,29,4.922384343669999
1537,65,162,17,43,15,7.80771943898
1538,71,178,18,47,18,8.3240615136
1539,82,167,25,51,19,10.9314706032
1540,197,510,24,63,43,10.7127350847
1541,127,296,28,65,34,12.0871488526
1542,109,281,23,59,50,10.040795378699999
1543,54,179,17,56,11,7.64830424435
1544,52,149,18,53,23,8.235311265750001
1545,45,131,17,48,12,7.50188704318
1546,66,158,20,49,11,8.8524165161
1547,87,170,26,52,16,11.422401991100001
1548,116,263,23,52,24,9.910053658399999
1549,55,157,17,48,12,7.51913904094
1550,39,127,15,50,7,6.78964714927
1551,68,205,19,58,29,8.38154832139
1552,105,237,20,45,13,8.76523899448
1553,80,157,30,59,14,12.8608060853
1554,48,102,25,54,15,10.9712408685
1555,99,170,34,59,26,14.617186604599999
1556,70,139,24,48,15,10.6089348336
1557,140,273,28,55,24,12.146159303700001
