Date_left, AQI_Value_left,Main_Pollutant_left,Site_Name_left,Site_ID_left,Source_left,AQI_Value_left,Date_right, AQI_Value_right,Main_Pollutant_right,Site_Name_right,Site_ID_right,Source_right,AQI_Value_right
2019-01-01,39,PM2.5,GT Craig NCore,39-035-0060,AQS,39.0,2019-01-01,23.0,PM2.5,Sycamore,39-061-0006,AQS,23.0
2019-01-02,55,PM2.5,GT Craig NCore,39-035-0060,AQS,55.0,2019-01-02,48.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,48.0
2019-01-03,48,PM2.5,GT Craig NCore,39-035-0060,AQS,48.0,2019-01-03,56.0,PM2.5,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS,56.0
2019-01-04,66,PM2.5,GT Craig NCore,39-035-0060,AQS,66.0,2019-01-04,59.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,59.0
2019-01-05,83,PM2.5,GT Craig NCore,39-035-0060,AQS,83.0,2019-01-05,45.0,PM2.5,Taft NCore,39-061-0040,AQS,45.0
2019-01-06,43,PM2.5,GT Craig NCore,39-035-0060,AQS,43.0,2019-01-06,66.0,PM2.5,BPG,39-017-0022,AQS,66.0
2019-01-07,36,PM2.5,GT Craig NCore,39-035-0060,AQS,36.0,2019-01-07,38.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,38.0
2019-01-08,40,PM2.5,GT Craig NCore,39-035-0060,AQS,40.0,,,,,,,
2019-01-09,54,PM2.5,Cleveland Fire St13,39-035-0045,AQS,54.0,2019-01-09,26.0,PM2.5,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS,26.0
2019-01-11,41,PM2.5,Chippewa,39-103-0004,AQS,41.0,2019-01-11,67.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,67.0
2019-01-12,53,PM2.5,GT Craig NCore,39-035-0060,AQS,53.0,2019-01-12,62.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,62.0
2019-01-13,38,PM2.5,Chippewa,39-103-0004,AQS,38.0,2019-01-13,62.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,62.0
2019-01-14,48,PM2.5,Cleveland Near Road,39-035-0073,AQS,48.0,2019-01-14,66.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,66.0
2019-01-15,76,PM2.5,GT Craig NCore,39-035-0060,AQS,76.0,2019-01-15,81.0,PM2.5,Yankee,39-017-0020,AQS,81.0
2019-01-16,50,PM2.5,GT Craig NCore,39-035-0060,AQS,50.0,2019-01-16,56.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,56.0
2019-01-17,64,PM2.5,GT Craig NCore,39-035-0060,AQS,64.0,2019-01-17,57.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,57.0
2019-01-18,78,PM2.5,GT Craig NCore,39-035-0060,AQS,78.0,2019-01-18,52.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,52.0
2019-01-19,54,PM2.5,GT Craig NCore,39-035-0060,AQS,54.0,,,,,,,
2019-01-20,35,PM2.5,GT Craig NCore,39-035-0060,AQS,35.0,,,,,,,
2019-01-21,36,PM2.5,GT Craig NCore,39-035-0060,AQS,36.0,2019-01-21,54.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,54.0
2019-01-22,60,PM2.5,GT Craig NCore,39-035-0060,AQS,60.0,2019-01-22,38.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,38.0
2019-01-23,51,PM2.5,GT Craig NCore,39-035-0060,AQS,51.0,,,,,,,
2019-01-24,54,PM2.5,GT Craig NCore,39-035-0060,AQS,54.0,2019-01-24,54.0,PM2.5,Taft NCore,39-061-0040,AQS,54.0
2019-01-25,56,PM2.5,GT Craig NCore,39-035-0060,AQS,56.0,,,,,,,
2019-01-26,59,PM2.5,GT Craig NCore,39-035-0060,AQS,59.0,2019-01-26,37.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,37.0
2019-01-27,65,PM2.5,Harvard Yards,39-035-0065,AQS,65.0,2019-01-27,50.0,PM2.5,Yankee,39-017-0020,AQS,50.0
2019-01-28,70,PM2.5,GT Craig NCore,39-035-0060,AQS,70.0,2019-01-28,43.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,43.0
2019-01-29,52,PM2.5,GT Craig NCore,39-035-0060,AQS,52.0,2019-01-29,37.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,37.0
2019-01-30,54,PM2.5,St Theodosius,39-035-0038,AQS,54.0,2019-01-30,35.0,PM2.5,Yankee,39-017-0020,AQS,35.0
2019-01-31,40,PM2.5,GT Craig NCore,39-035-0060,AQS,40.0,2019-01-31,39.0,PM2.5,Colerain,39-061-0010,AQS,39.0
2019-02-01,68,PM2.5,GT Craig NCore,39-035-0060,AQS,68.0,2019-02-01,73.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,73.0
2019-02-02,90,PM2.5,St Theodosius,39-035-0038,AQS,90.0,2019-02-02,90.0,PM2.5,Sacred Heart Elem,39-017-0016,AQS,90.0
2019-02-03,97,PM2.5,GT Craig NCore,39-035-0060,AQS,97.0,2019-02-03,74.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,74.0
2019-02-04,46,PM2.5,Chippewa,39-103-0004,AQS,46.0,2019-02-04,69.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,69.0
2019-02-05,46,PM2.5,GT Craig NCore,39-035-0060,AQS,46.0,2019-02-05,74.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,74.0
2019-02-06,62,PM2.5,GT Craig NCore,39-035-0060,AQS,62.0,2019-02-06,51.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,51.0
2019-02-07,52,PM2.5,GT Craig NCore,39-035-0060,AQS,52.0,2019-02-07,47.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,47.0
2019-02-08,33,PM2.5,GT Craig NCore,39-035-0060,AQS,33.0,,,,,,,
2019-02-09,36,PM2.5,GT Craig NCore,39-035-0060,AQS,36.0,2019-02-09,38.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,38.0
2019-02-10,60,PM2.5,GT Craig NCore,39-035-0060,AQS,60.0,2019-02-10,53.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,53.0
2019-02-11,76,PM2.5,GT Craig NCore,39-035-0060,AQS,76.0,2019-02-11,55.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,55.0
2019-02-12,37,PM2.5,GT Craig NCore,39-035-0060,AQS,37.0,,,,,,,
2019-02-13,44,PM2.5,Cleveland Near Road,39-035-0073,AQS,44.0,,,,,,,
2019-02-14,57,PM2.5,St Theodosius,39-035-0038,AQS,57.0,,,,,,,
2019-02-15,55,PM2.5,GT Craig NCore,39-035-0060,AQS,55.0,2019-02-15,46.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,46.0
2019-02-17,32,PM2.5,Cleveland Near Road,39-035-0073,AQS,32.0,2019-02-17,57.0,PM2.5,BPG,39-017-0022,AQS,57.0
2019-02-18,37,PM2.5,Cleveland Near Road,39-035-0073,AQS,37.0,2019-02-18,42.0,PM2.5,Sycamore,39-061-0006,AQS,42.0
2019-02-19,59,PM2.5,Chippewa,39-103-0004,AQS,59.0,2019-02-19,51.0,PM2.5,Sycamore,39-061-0006,AQS,51.0
2019-02-20,52,PM2.5,St Theodosius,39-035-0038,AQS,52.0,2019-02-20,33.0,PM2.5,BPG,39-017-0022,AQS,33.0
2019-02-21,51,PM2.5,GT Craig NCore,39-035-0060,AQS,51.0,2019-02-21,53.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,53.0
2019-02-22,77,PM2.5,GT Craig NCore,39-035-0060,AQS,77.0,2019-02-22,78.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,78.0
2019-02-23,67,PM2.5,Harvard Yards,39-035-0065,AQS,67.0,2019-02-23,59.0,PM2.5,BPG,39-017-0022,AQS,59.0
2019-02-25,33,PM2.5,GT Craig NCore,39-035-0060,AQS,33.0,,,,,,,
2019-02-26,35,PM2.5,GT Craig NCore,39-035-0060,AQS,35.0,2019-02-26,54.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,54.0
2019-02-27,49,PM2.5,GT Craig NCore,39-035-0060,AQS,49.0,2019-02-27,63.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,63.0
2019-02-28,60,PM2.5,GT Craig NCore,39-035-0060,AQS,60.0,2019-02-28,65.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,65.0
2019-03-01,61,PM2.5,GT Craig NCore,39-035-0060,AQS,61.0,2019-03-01,63.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,63.0
2019-03-02,71,PM2.5,GT Craig NCore,39-035-0060,AQS,71.0,2019-03-02,64.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,64.0
2019-03-03,52,PM2.5,Chippewa,39-103-0004,AQS,52.0,2019-03-03,69.0,PM2.5,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS,69.0
2019-03-05,52,PM2.5,GT Craig NCore,39-035-0060,AQS,52.0,2019-03-05,40.0,PM2.5,Colerain,39-061-0010,AQS,40.0
2019-03-06,48,PM2.5,Cleveland Near Road,39-035-0073,AQS,48.0,,,,,,,
2019-03-07,53,PM2.5,Cleveland Fire St13,39-035-0045,AQS,53.0,2019-03-07,56.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,56.0
2019-03-08,87,PM2.5,GT Craig NCore,39-035-0060,AQS,87.0,2019-03-08,65.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,65.0
2019-03-09,80,PM2.5,GT Craig NCore,39-035-0060,AQS,80.0,2019-03-09,51.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,51.0
2019-03-10,54,PM2.5,Cleveland Fire St13,39-035-0045,AQS,54.0,,,,,,,
2019-03-11,45,PM2.5,Cleveland Near Road,39-035-0073,AQS,45.0,,,,,,,
2019-03-13,59,PM2.5,St Theodosius,39-035-0038,AQS,59.0,,,,,,,
2019-03-14,49,PM2.5,GT Craig NCore,39-035-0060,AQS,49.0,2019-03-14,52.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,52.0
2019-03-18,60,PM2.5,GT Craig NCore,39-035-0060,AQS,60.0,,,,,,,
2019-03-19,70,PM2.5,GT Craig NCore,39-035-0060,AQS,70.0,2019-03-19,59.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,59.0
2019-03-20,59,PM2.5,GT Craig NCore,39-035-0060,AQS,59.0,2019-03-20,62.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,62.0
2019-03-21,59,PM2.5,GT Craig NCore,39-035-0060,AQS,59.0,2019-03-21,54.0,PM2.5,Sycamore,39-061-0006,AQS,54.0
2019-03-22,41,PM2.5,Cleveland Fire St13,39-035-0045,AQS,41.0,,,,,,,
2019-03-24,61,PM2.5,GT Craig NCore,39-035-0060,AQS,61.0,2019-03-24,66.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,66.0
2019-03-27,59,PM2.5,GT Craig NCore,39-035-0060,AQS,59.0,2019-03-27,52.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,52.0
2019-03-28,63,PM2.5,GT Craig NCore,39-035-0060,AQS,63.0,2019-03-28,67.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,67.0
2019-03-29,62,PM2.5,GT Craig NCore,39-035-0060,AQS,62.0,2019-03-29,69.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,69.0
2019-03-30,56,PM2.5,GT Craig NCore,39-035-0060,AQS,56.0,,,,,,,
2019-04-05,58,PM2.5,GT Craig NCore,39-035-0060,AQS,58.0,2019-04-05,63.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,63.0
2019-04-06,81,PM2.5,GT Craig NCore,39-035-0060,AQS,81.0,,,,,,,
2019-04-07,56,PM2.5,GT Craig NCore,39-035-0060,AQS,56.0,2019-04-07,60.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,60.0
2019-04-08,48,PM2.5,Cleveland Near Road,39-035-0073,AQS,48.0,,,,,,,
2019-04-22,55,PM2.5,GT Craig NCore,39-035-0060,AQS,55.0,,,,,,,
2019-04-29,37,PM2.5,GT Craig NCore,39-035-0060,AQS,37.0,2019-04-29,52.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,52.0
2019-04-30,41,PM2.5,Cleveland Fire St13,39-035-0045,AQS,41.0,2019-04-30,61.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,61.0
2019-05-03,45,PM2.5,Cleveland Near Road,39-035-0073,AQS,45.0,,,,,,,
2019-05-04,45,PM2.5,Cleveland Near Road,39-035-0073,AQS,45.0,2019-05-04,62.0,PM2.5,Taft NCore,39-061-0040,AQS,62.0
2019-05-11,46,PM2.5,GT Craig NCore,39-035-0060,AQS,46.0,,,,,,,
2019-05-17,44,PM2.5,Cleveland Near Road,39-035-0073,AQS,44.0,,,,,,,
2019-05-19,52,PM2.5,GT Craig NCore,39-035-0060,AQS,52.0,2019-05-19,53.0,PM2.5,Taft NCore,39-061-0040,AQS,53.0
2019-05-25,58,PM2.5,GT Craig NCore,39-035-0060,AQS,58.0,2019-05-25,58.0,PM2.5,Taft NCore,39-061-0040,AQS,58.0
2019-05-26,38,PM2.5,Cleveland Near Road,39-035-0073,AQS,38.0,2019-05-26,55.0,PM2.5,Taft NCore,39-061-0040,AQS,55.0
2019-05-28,60,PM2.5,GT Craig NCore,39-035-0060,AQS,60.0,2019-05-28,66.0,PM2.5,Taft NCore,39-061-0040,AQS,66.0
2019-05-29,59,PM2.5,GT Craig NCore,39-035-0060,AQS,59.0,2019-05-29,44.0,PM2.5,Lebanon,39-165-0007,AQS,44.0
2019-05-30,64,PM2.5,GT Craig NCore,39-035-0060,AQS,64.0,,,,,,,
2019-05-31,50,PM2.5,GT Craig NCore,39-035-0060,AQS,50.0,,,,,,,
2019-06-01,53,PM2.5,Cleveland Near Road,39-035-0073,AQS,53.0,,,,,,,
2019-06-02,53,PM2.5,GT Craig NCore,39-035-0060,AQS,53.0,2019-06-02,64.0,PM2.5,Taft NCore,39-061-0040,AQS,64.0
2019-06-05,66,PM2.5,GT Craig NCore,39-035-0060,AQS,66.0,2019-06-05,56.0,PM2.5,Taft NCore,39-061-0040,AQS,56.0
2019-06-06,59,PM2.5,GT Craig NCore,39-035-0060,AQS,59.0,,,,,,,
2019-06-07,63,PM2.5,GT Craig NCore,39-035-0060,AQS,63.0,,,,,,,
2019-06-08,48,PM2.5,Harvard Yards,39-035-0065,AQS,48.0,2019-06-08,57.0,PM2.5,BPG,39-017-0022,AQS,57.0
2019-06-10,33,PM2.5,GT Craig NCore,39-035-0060,AQS,33.0,,,,,,,
2019-06-12,54,PM2.5,GT Craig NCore,39-035-0060,AQS,54.0,,,,,,,
2019-06-13,44,PM2.5,GT Craig NCore,39-035-0060,AQS,44.0,,,,,,,
2019-06-15,44,PM2.5,GT Craig NCore,39-035-0060,AQS,44.0,2019-06-15,51.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,51.0
2019-06-16,36,PM2.5,GT Craig NCore,39-035-0060,AQS,36.0,,,,,,,
2019-06-17,51,PM2.5,GT Craig NCore,39-035-0060,AQS,51.0,,,,,,,
2019-06-20,55,PM2.5,GT Craig NCore,39-035-0060,AQS,55.0,,,,,,,
2019-06-23,52,PM2.5,GT Craig NCore,39-035-0060,AQS,52.0,2019-06-23,45.0,PM2.5,Yankee,39-017-0020,AQS,45.0
2019-06-30,40,PM2.5,Cleveland Near Road,39-035-0073,AQS,40.0,,,,,,,
