Crematoria,Crematoria2,Direct Cremations 2019,1 Jan-31 Dec 2019,1 Jan-31 Dec 2020,Buffer,Crematoria Point 1,Crematoria Point 2,Direct Cremations 2020,Distance,Distance Label,January 2020 Basic Cremation Fee in pounds,January 2021 Basic Cremation Fee in pounds,Latitude,Latitude2,Longtitude,Longtitude2,Total Crematorium Charges in pounds,Total for County 2020,Total Since Opening
Bedford,Widnes,60,1744,1824,Polygon,Point,Point,52,LineString,207.679606989,810.8,849.95,52.155162295,53.380608972,-0.411665193,-2.732648242,944.5,,85432
Luton,Whimple (East Devon),N/R,1565,1884,Polygon,Point,Point,243,LineString,242.517541878,760,780,51.911291458,50.758470383,-0.389880066,-3.343787280,780,3708,128685
Bracknell,Weymouth,32,2009,2396,Polygon,Point,Point,218,LineString,147.290578415,875,900,51.391328201,50.612300983,-0.780323778,-2.477066115,900,,69774
Reading,Westerleigh,74,1646,1898,Polygon,Point,Point,167,LineString,102.432956474,810,830,51.475829089,51.504766093,-0.955201238,-2.429302740,873.5,,135794
Slough,West Berkshire (Thatcham),N/R,1358,1368,Polygon,Point,Point,59,LineString,45.962629963,795,835,51.523430685,51.401051784,-0.592800359,-1.224471876,835,,89237
West Berkshire (Thatcham),Weeley,32,1127,1302,Polygon,Point,Point,78,LineString,169.623631449,995,995,51.401051784,51.861196280,-1.224471876,1.111173752,995,6964,15485
Bristol (Canford),Wear Valley,0,1320,1493,Polygon,Point,Point,54,LineString,358.695094274,890,940,51.494563690,54.659398055,-2.627090917,-1.612880347,940,,134110
Bristol (South),Warrington,0,1912,1833,Polygon,Point,Point,23,LineString,215.730208491,890,940,51.425774157,53.364436730,-2.625863577,-2.602400778,940,,86223
Westerleigh,Truro,58,2632,3211,Polygon,Point,Point,275,LineString,228.662595428,985,985,51.504766093,50.287626516,-2.429302740,-5.048788431,985,6537,55546
Amersham (Chilterns),Torquay,210,3195,3597,Polygon,Point,Point,325,LineString,242.402689148,630,650,51.660428440,50.486223726,-0.631457344,-3.545360290,650,,148149
Aylesbury Vale,Stockton-on-Tees,17,377,762,Polygon,Point,Point,20,LineString,309.795629964,645,645,51.833666432,54.598683709,-0.811689104,-1.348014903,645,,1139
Bierton,Southend-on-Sea,18,279,781,Polygon,Point,Point,119,LineString,108.380339565,630,650,51.845447978,51.559469837,-0.780465916,0.718207503,650,,1060
Milton Keynes,South Essex,N/O,1914,1784,Polygon,Point,Point,153,LineString,91.365755770,960,960,52.032693631,51.543798273,-0.805557078,0.258334025,1008,6924,58371
Cambridge,Slough,125,1959,2120,Polygon,Point,Point,171,LineString,91.578648591,830,830,52.244267547,51.523430685,0.049203695,-0.592800359,830,,169353
March (Fenland),Saffron Walden (Cam Valley),67,1071,1205,Polygon,Point,Point,150,LineString,51.431357532,988,988,52.533986828,52.078750998,0.067190658,0.197671287,988,,9090
Peterborough,Redbridge (Forest Park),21,2108,2227,Polygon,Point,Point,64,LineString,114.722997171,958,1002,52.605844116,51.606850007,-0.290899744,0.123336460,1002,5552,121209
Chester,Reading,N/R,1743,1941,Polygon,Point,Point,22,LineString,233.900662856,757,869.25,53.205276852,51.475829089,-2.906380009,-0.955201238,869.25,,95290
