system:time_start,B1,B2,B3,B4,B5,B6,B7
"Jan 5, 2019",0.418,0.404,0.361,0.376,0.433,0.403,0.338
"Jan 21, 2019",0.637,0.624,0.558,0.589,0.637,0.415,0.355
"Feb 22, 2019",0.219,0.197,0.167,0.163,0.21,0.166,0.134
"Mar 1, 2019",0.16,0.139,0.117,0.118,0.177,0.178,0.136
"Mar 17, 2019",0.148,0.13,0.111,0.116,0.182,0.186,0.141
"Mar 26, 2019",0.152,0.134,0.118,0.122,0.194,0.201,0.153
"Apr 2, 2019",0.19,0.17,0.145,0.144,0.192,0.144,0.116
"Apr 11, 2019",0.372,0.356,0.324,0.324,0.374,0.196,0.186
"Apr 18, 2019",0.272,0.254,0.228,0.226,0.305,0.246,0.191
"Apr 27, 2019",0.16,0.142,0.128,0.122,0.24,0.186,0.135
"May 4, 2019",0.663,0.656,0.62,0.641,0.715,0.447,0.341
"May 20, 2019",0.346,0.332,0.312,0.315,0.427,0.343,0.275
"Jun 14, 2019",0.144,0.125,0.117,0.104,0.302,0.185,0.119
"Jun 21, 2019",0.135,0.117,0.109,0.096,0.277,0.17,0.109
"Jun 30, 2019",0.145,0.128,0.12,0.107,0.305,0.196,0.125
"Jul 7, 2019",0.182,0.16,0.143,0.129,0.284,0.178,0.112
"Jul 16, 2019",0.808,0.809,0.77,0.791,0.858,0.503,0.33
"Jul 23, 2019",0.19,0.172,0.157,0.149,0.302,0.211,0.147
"Aug 1, 2019",0.182,0.164,0.148,0.138,0.303,0.216,0.141
"Aug 8, 2019",0.179,0.161,0.145,0.136,0.282,0.199,0.13
"Aug 17, 2019",0.382,0.367,0.335,0.331,0.443,0.292,0.224
"Aug 24, 2019",0.661,0.662,0.64,0.668,0.756,0.535,0.424
"Sep 9, 2019",0.145,0.124,0.108,0.097,0.239,0.17,0.106
"Sep 18, 2019",0.144,0.124,0.109,0.098,0.242,0.174,0.11
"Sep 25, 2019",0.14,0.12,0.106,0.096,0.231,0.168,0.107
"Oct 11, 2019",0.17,0.149,0.129,0.12,0.232,0.172,0.12
"Oct 20, 2019",0.15,0.128,0.108,0.098,0.219,0.164,0.103
"Nov 5, 2019",0.207,0.183,0.149,0.142,0.206,0.158,0.126
"Nov 12, 2019",0.783,0.772,0.706,0.747,0.801,0.253,0.256
"Dec 7, 2019",0.244,0.221,0.185,0.189,0.281,0.267,0.227
"Dec 23, 2019",0.179,0.152,0.116,0.109,0.159,0.133,0.097
