Date,Ozone_AQI_Value,Site Name,Site ID,Source
1/1/2010,26,Oxford,39-017-9991,AQS
1/2/2010,30,Oxford,39-017-9991,AQS
1/3/2010,28,Oxford,39-017-9991,AQS
1/4/2010,24,Oxford,39-017-9991,AQS
1/5/2010,20,Oxford,39-017-9991,AQS
1/6/2010,26,Oxford,39-017-9991,AQS
1/7/2010,27,Oxford,39-017-9991,AQS
1/8/2010,25,Oxford,39-017-9991,AQS
1/9/2010,37,Oxford,39-017-9991,AQS
1/10/2010,29,Oxford,39-017-9991,AQS
1/11/2010,26,Oxford,39-017-9991,AQS
1/13/2010,24,Oxford,39-017-9991,AQS
1/14/2010,21,Oxford,39-017-9991,AQS
1/15/2010,24,Oxford,39-017-9991,AQS
1/16/2010,20,Oxford,39-017-9991,AQS
1/17/2010,17,Oxford,39-017-9991,AQS
1/18/2010,14,Oxford,39-017-9991,AQS
1/19/2010,19,Oxford,39-017-9991,AQS
1/20/2010,22,Oxford,39-017-9991,AQS
1/21/2010,17,Oxford,39-017-9991,AQS
1/22/2010,13,Oxford,39-017-9991,AQS
1/23/2010,19,Oxford,39-017-9991,AQS
1/24/2010,29,Oxford,39-017-9991,AQS
1/25/2010,21,Oxford,39-017-9991,AQS
1/27/2010,30,Oxford,39-017-9991,AQS
1/28/2010,33,Oxford,39-017-9991,AQS
1/29/2010,30,Oxford,39-017-9991,AQS
1/30/2010,31,Oxford,39-017-9991,AQS
1/31/2010,30,Oxford,39-017-9991,AQS
2/1/2010,21,Oxford,39-017-9991,AQS
2/2/2010,28,Oxford,39-017-9991,AQS
2/3/2010,28,Oxford,39-017-9991,AQS
2/4/2010,19,Oxford,39-017-9991,AQS
2/5/2010,29,Oxford,39-017-9991,AQS
2/6/2010,35,Oxford,39-017-9991,AQS
2/7/2010,34,Oxford,39-017-9991,AQS
2/8/2010,31,Oxford,39-017-9991,AQS
2/9/2010,31,Oxford,39-017-9991,AQS
2/10/2010,32,Oxford,39-017-9991,AQS
2/11/2010,38,Oxford,39-017-9991,AQS
2/12/2010,40,Oxford,39-017-9991,AQS
2/13/2010,43,Oxford,39-017-9991,AQS
2/14/2010,43,Oxford,39-017-9991,AQS
2/15/2010,41,Oxford,39-017-9991,AQS
2/16/2010,35,Oxford,39-017-9991,AQS
2/17/2010,33,Oxford,39-017-9991,AQS
2/18/2010,39,Oxford,39-017-9991,AQS
2/19/2010,50,Oxford,39-017-9991,AQS
2/20/2010,37,Oxford,39-017-9991,AQS
2/21/2010,26,Oxford,39-017-9991,AQS
2/22/2010,27,Oxford,39-017-9991,AQS
2/23/2010,35,Oxford,39-017-9991,AQS
2/24/2010,40,Oxford,39-017-9991,AQS
2/25/2010,38,Oxford,39-017-9991,AQS
2/26/2010,35,Oxford,39-017-9991,AQS
2/27/2010,32,Oxford,39-017-9991,AQS
2/28/2010,37,Oxford,39-017-9991,AQS
3/1/2010,34,Oxford,39-017-9991,AQS
3/2/2010,31,Oxford,39-017-9991,AQS
3/3/2010,38,Oxford,39-017-9991,AQS
3/4/2010,42,Oxford,39-017-9991,AQS
3/5/2010,46,Oxford,39-017-9991,AQS
3/6/2010,41,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/7/2010,44,Oxford,39-017-9991,AQS
3/8/2010,54,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/9/2010,58,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/10/2010,44,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/11/2010,32,EAST BEND,21-015-0003,AQS
3/12/2010,27,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/13/2010,30,Oxford,39-017-9991,AQS
3/14/2010,34,Oxford,39-017-9991,AQS
3/15/2010,31,Oxford,39-017-9991,AQS
3/16/2010,44,Oxford,39-017-9991,AQS
3/17/2010,47,Oxford,39-017-9991,AQS
3/18/2010,50,Oxford,39-017-9991,AQS
3/19/2010,54,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/20/2010,67,Oxford,39-017-9991,AQS
3/21/2010,37,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/22/2010,29,Oxford,39-017-9991,AQS
3/23/2010,42,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/24/2010,47,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/25/2010,42,EAST BEND,21-015-0003,AQS
3/26/2010,37,Oxford,39-017-9991,AQS
3/27/2010,42,EAST BEND,21-015-0003,AQS
3/28/2010,41,EAST BEND,21-015-0003,AQS
3/29/2010,34,Oxford,39-017-9991,AQS
3/30/2010,35,EAST BEND,21-015-0003,AQS
3/31/2010,58,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
4/1/2010,87,Middletown Airport,39-017-0018,AQS
4/2/2010,80,Batavia,39-025-0022,AQS
4/3/2010,54,Batavia,39-025-0022,AQS
4/4/2010,71,Middletown Airport,39-017-0018,AQS
4/5/2010,46,Middletown Airport,39-017-0018,AQS
4/6/2010,80,Middletown Airport,39-017-0018,AQS
4/7/2010,46,Lebanon,39-165-0007,AQS
4/8/2010,42,Batavia,39-025-0022,AQS
4/9/2010,46,Middletown Airport,39-017-0018,AQS
4/10/2010,67,Middletown Airport,39-017-0018,AQS
4/11/2010,105,Batavia,39-025-0022,AQS
4/12/2010,87,EAST BEND,21-015-0003,AQS
4/13/2010,90,Batavia,39-025-0022,AQS
4/14/2010,112,Batavia,39-025-0022,AQS
4/15/2010,126,Batavia,39-025-0022,AQS
4/16/2010,48,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
4/17/2010,54,Middletown Airport,39-017-0018,AQS
4/18/2010,37,Middletown Airport,39-017-0018,AQS
4/19/2010,49,Middletown Airport,39-017-0018,AQS
4/20/2010,64,Middletown Airport,39-017-0018,AQS
4/21/2010,93,Middletown Airport,39-017-0018,AQS
4/22/2010,93,Middletown Airport,39-017-0018,AQS
4/23/2010,45,Oxford,39-017-9991,AQS
4/24/2010,37,Lebanon,39-165-0007,AQS
4/25/2010,42,Middletown Airport,39-017-0018,AQS
4/26/2010,39,Middletown Airport,39-017-0018,AQS
4/27/2010,61,Colerain,39-061-0010,AQS
4/28/2010,67,Colerain,39-061-0010,AQS
4/29/2010,80,Colerain,39-061-0010,AQS
4/30/2010,74,Middletown Airport,39-017-0018,AQS
5/1/2010,44,Batavia,39-025-0022,AQS
5/2/2010,32,Batavia,39-025-0022,AQS
5/3/2010,67,Lebanon,39-165-0007,AQS
5/4/2010,67,Batavia,39-025-0022,AQS
5/5/2010,115,Lebanon,39-165-0007,AQS
5/6/2010,51,Batavia,39-025-0022,AQS
5/7/2010,80,Middletown Airport,39-017-0018,AQS
5/8/2010,32,Middletown Airport,39-017-0018,AQS
5/9/2010,47,Middletown Airport,39-017-0018,AQS
5/10/2010,58,Middletown Airport,39-017-0018,AQS
5/11/2010,43,Middletown Airport,39-017-0018,AQS
5/12/2010,26,Middletown Airport,39-017-0018,AQS
5/13/2010,45,Middletown Airport,39-017-0018,AQS
5/14/2010,49,Middletown Airport,39-017-0018,AQS
5/15/2010,84,Middletown Airport,39-017-0018,AQS
5/16/2010,44,Batavia,39-025-0022,AQS
5/17/2010,34,Batavia,39-025-0022,AQS
5/18/2010,34,Middletown Airport,39-017-0018,AQS
5/19/2010,26,Colerain,39-061-0010,AQS
5/20/2010,48,Middletown Airport,39-017-0018,AQS
5/21/2010,38,Batavia,39-025-0022,AQS
5/22/2010,49,Lebanon,39-165-0007,AQS
5/23/2010,115,HAMILTON,39-017-0004,AQS
5/24/2010,74,Middletown Airport,39-017-0018,AQS
5/25/2010,54,Oxford,39-017-9991,AQS
5/26/2010,74,Middletown Airport,39-017-0018,AQS
5/27/2010,84,Batavia,39-025-0022,AQS
5/28/2010,93,Batavia,39-025-0022,AQS
5/29/2010,101,Middletown Airport,39-017-0018,AQS
5/30/2010,129,Middletown Airport,39-017-0018,AQS
5/31/2010,48,Middletown Airport,39-017-0018,AQS
6/1/2010,112,Sycamore,39-061-0006,AQS
6/2/2010,84,Lebanon,39-165-0007,AQS
6/3/2010,80,Batavia,39-025-0022,AQS
6/4/2010,108,Lebanon,39-165-0007,AQS
6/5/2010,45,Batavia,39-025-0022,AQS
6/6/2010,45,Middletown Airport,39-017-0018,AQS
6/7/2010,42,Batavia,39-025-0022,AQS
6/8/2010,48,Batavia,39-025-0022,AQS
6/9/2010,41,Lebanon,39-165-0007,AQS
6/10/2010,84,Batavia,39-025-0022,AQS
6/11/2010,45,Lebanon,39-165-0007,AQS
6/12/2010,32,Lebanon,39-165-0007,AQS
6/13/2010,42,Batavia,39-025-0022,AQS
6/14/2010,61,Lebanon,39-165-0007,AQS
6/15/2010,64,Batavia,39-025-0022,AQS
6/16/2010,47,Lebanon,39-165-0007,AQS
6/17/2010,93,Sycamore,39-061-0006,AQS
6/18/2010,119,Middletown Airport,39-017-0018,AQS
6/19/2010,58,Batavia,39-025-0022,AQS
6/20/2010,64,Batavia,39-025-0022,AQS
6/21/2010,42,Batavia,39-025-0022,AQS
6/22/2010,67,Lebanon,39-165-0007,AQS
6/23/2010,112,Batavia,39-025-0022,AQS
6/24/2010,50,Batavia,39-025-0022,AQS
6/25/2010,122,Taft NCore,39-061-0040,AQS
6/26/2010,112,Lebanon,39-165-0007,AQS
6/27/2010,49,Middletown Airport,39-017-0018,AQS
6/28/2010,44,Sycamore,39-061-0006,AQS
6/29/2010,45,Batavia,39-025-0022,AQS
6/30/2010,61,Batavia,39-025-0022,AQS
7/1/2010,64,Taft NCore,39-061-0040,AQS
7/2/2010,61,EAST BEND,21-015-0003,AQS
7/3/2010,143,HAMILTON,39-017-0004,AQS
7/4/2010,74,Batavia,39-025-0022,AQS
7/5/2010,97,Middletown Airport,39-017-0018,AQS
7/6/2010,136,Middletown Airport,39-017-0018,AQS
7/7/2010,169,Taft NCore,39-061-0040,AQS
7/8/2010,119,Middletown Airport,39-017-0018,AQS
7/9/2010,40,Batavia,39-025-0022,AQS
7/10/2010,93,Colerain,39-061-0010,AQS
7/11/2010,80,Middletown Airport,39-017-0018,AQS
7/12/2010,71,Middletown Airport,39-017-0018,AQS
7/13/2010,33,Middletown Airport,39-017-0018,AQS
7/14/2010,108,Sycamore,39-061-0006,AQS
7/15/2010,122,Middletown Airport,39-017-0018,AQS
7/16/2010,74,Batavia,39-025-0022,AQS
7/17/2010,67,Lebanon,39-165-0007,AQS
7/18/2010,46,HAMILTON,39-017-0004,AQS
7/19/2010,54,Batavia,39-025-0022,AQS
7/20/2010,45,Sycamore,39-061-0006,AQS
7/21/2010,50,Middletown Airport,39-017-0018,AQS
7/22/2010,64,Middletown Airport,39-017-0018,AQS
7/23/2010,64,Batavia,39-025-0022,AQS
7/24/2010,50,Batavia,39-025-0022,AQS
7/25/2010,46,Batavia,39-025-0022,AQS
7/26/2010,54,Colerain,39-061-0010,AQS
7/27/2010,129,Middletown Airport,39-017-0018,AQS
7/28/2010,61,Batavia,39-025-0022,AQS
7/29/2010,54,Batavia,39-025-0022,AQS
7/30/2010,67,Middletown Airport,39-017-0018,AQS
7/31/2010,58,Colerain,39-061-0010,AQS
8/1/2010,101,Middletown Airport,39-017-0018,AQS
8/2/2010,143,Sycamore,39-061-0006,AQS
8/3/2010,108,Lebanon,39-165-0007,AQS
8/4/2010,101,Batavia,39-025-0022,AQS
8/5/2010,71,Batavia,39-025-0022,AQS
8/6/2010,71,Batavia,39-025-0022,AQS
8/7/2010,97,Colerain,39-061-0010,AQS
8/8/2010,129,Middletown Airport,39-017-0018,AQS
8/9/2010,159,Sycamore,39-061-0006,AQS
8/10/2010,154,Batavia,39-025-0022,AQS
8/11/2010,54,Batavia,39-025-0022,AQS
8/12/2010,84,Batavia,39-025-0022,AQS
8/13/2010,147,Colerain,39-061-0010,AQS
8/14/2010,84,Sycamore,39-061-0006,AQS
8/15/2010,50,Taft NCore,39-061-0040,AQS
8/16/2010,49,Batavia,39-025-0022,AQS
8/17/2010,74,Colerain,39-061-0010,AQS
8/18/2010,93,Batavia,39-025-0022,AQS
8/19/2010,172,Colerain,39-061-0010,AQS
8/20/2010,129,Oxford,39-017-9991,AQS
8/21/2010,43,Middletown Airport,39-017-0018,AQS
8/22/2010,46,Batavia,39-025-0022,AQS
8/23/2010,48,Middletown Airport,39-017-0018,AQS
8/24/2010,42,Middletown Airport,39-017-0018,AQS
8/25/2010,51,Batavia,39-025-0022,AQS
8/26/2010,46,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
8/27/2010,90,Middletown Airport,39-017-0018,AQS
8/28/2010,129,Colerain,39-061-0010,AQS
8/29/2010,90,Middletown Airport,39-017-0018,AQS
8/30/2010,115,Sycamore,39-061-0006,AQS
8/31/2010,100,Middletown Airport,39-017-0018,AQS
9/1/2010,100,Oxford,39-017-9991,AQS
9/2/2010,97,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
9/3/2010,44,Middletown Airport,39-017-0018,AQS
9/4/2010,38,Sycamore,39-061-0006,AQS
9/5/2010,50,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
9/6/2010,77,Middletown Airport,39-017-0018,AQS
9/7/2010,61,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
9/8/2010,54,Batavia,39-025-0022,AQS
9/9/2010,37,Middletown Airport,39-017-0018,AQS
9/10/2010,50,Middletown Airport,39-017-0018,AQS
9/11/2010,34,Colerain,39-061-0010,AQS
9/12/2010,42,Middletown Airport,39-017-0018,AQS
9/13/2010,67,Middletown Airport,39-017-0018,AQS
9/14/2010,51,Batavia,39-025-0022,AQS
9/15/2010,136,HAMILTON,39-017-0004,AQS
9/16/2010,54,Colerain,39-061-0010,AQS
9/17/2010,48,Middletown Airport,39-017-0018,AQS
9/18/2010,77,Middletown Airport,39-017-0018,AQS
9/19/2010,84,Batavia,39-025-0022,AQS
9/20/2010,77,Colerain,39-061-0010,AQS
9/21/2010,101,Middletown Airport,39-017-0018,AQS
9/22/2010,71,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
9/23/2010,84,Colerain,39-061-0010,AQS
9/24/2010,58,Lebanon,39-165-0007,AQS
9/25/2010,44,Batavia,39-025-0022,AQS
9/26/2010,32,Oxford,39-017-9991,AQS
9/27/2010,18,Middletown Airport,39-017-0018,AQS
9/28/2010,31,Oxford,39-017-9991,AQS
9/29/2010,50,Oxford,39-017-9991,AQS
9/30/2010,80,Batavia,39-025-0022,AQS
10/1/2010,36,Oxford,39-017-9991,AQS
10/2/2010,37,Batavia,39-025-0022,AQS
10/3/2010,28,Oxford,39-017-9991,AQS
10/4/2010,26,Oxford,39-017-9991,AQS
10/5/2010,39,Oxford,39-017-9991,AQS
10/6/2010,51,Oxford,39-017-9991,AQS
10/7/2010,48,Oxford,39-017-9991,AQS
10/8/2010,71,Oxford,39-017-9991,AQS
10/9/2010,108,Oxford,39-017-9991,AQS
10/10/2010,136,Oxford,39-017-9991,AQS
10/11/2010,133,Oxford,39-017-9991,AQS
10/12/2010,126,Oxford,39-017-9991,AQS
10/13/2010,49,Batavia,39-025-0022,AQS
10/14/2010,40,Oxford,39-017-9991,AQS
10/15/2010,44,Oxford,39-017-9991,AQS
10/16/2010,54,Oxford,39-017-9991,AQS
10/17/2010,87,Oxford,39-017-9991,AQS
10/18/2010,43,Batavia,39-025-0022,AQS
10/19/2010,47,Oxford,39-017-9991,AQS
10/20/2010,61,Oxford,39-017-9991,AQS
10/21/2010,43,Oxford,39-017-9991,AQS
10/22/2010,46,Oxford,39-017-9991,AQS
10/23/2010,48,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
10/24/2010,93,Oxford,39-017-9991,AQS
10/25/2010,46,Oxford,39-017-9991,AQS
10/26/2010,39,Oxford,39-017-9991,AQS
10/27/2010,49,Oxford,39-017-9991,AQS
10/28/2010,37,Oxford,39-017-9991,AQS
10/29/2010,38,Oxford,39-017-9991,AQS
10/30/2010,45,Oxford,39-017-9991,AQS
10/31/2010,41,Oxford,39-017-9991,AQS
11/1/2010,36,Oxford,39-017-9991,AQS
11/2/2010,26,Oxford,39-017-9991,AQS
11/3/2010,25,Oxford,39-017-9991,AQS
11/4/2010,26,Oxford,39-017-9991,AQS
11/5/2010,29,Oxford,39-017-9991,AQS
11/6/2010,34,Oxford,39-017-9991,AQS
11/7/2010,36,Oxford,39-017-9991,AQS
11/8/2010,51,Oxford,39-017-9991,AQS
11/9/2010,47,Oxford,39-017-9991,AQS
11/10/2010,87,Oxford,39-017-9991,AQS
11/11/2010,54,Oxford,39-017-9991,AQS
11/12/2010,35,Oxford,39-017-9991,AQS
11/13/2010,77,Oxford,39-017-9991,AQS
11/14/2010,34,Oxford,39-017-9991,AQS
11/15/2010,25,Oxford,39-017-9991,AQS
11/16/2010,18,Oxford,39-017-9991,AQS
11/17/2010,31,Oxford,39-017-9991,AQS
11/18/2010,29,Oxford,39-017-9991,AQS
11/19/2010,29,Oxford,39-017-9991,AQS
11/20/2010,24,Oxford,39-017-9991,AQS
11/21/2010,49,Oxford,39-017-9991,AQS
11/22/2010,45,Oxford,39-017-9991,AQS
11/23/2010,29,Oxford,39-017-9991,AQS
11/24/2010,25,Oxford,39-017-9991,AQS
11/25/2010,32,Oxford,39-017-9991,AQS
11/26/2010,32,Oxford,39-017-9991,AQS
11/27/2010,35,Oxford,39-017-9991,AQS
11/28/2010,30,Oxford,39-017-9991,AQS
11/29/2010,35,Oxford,39-017-9991,AQS
11/30/2010,23,Taft NCore,39-061-0040,AQS
12/1/2010,19,Taft NCore,39-061-0040,AQS
12/2/2010,31,Oxford,39-017-9991,AQS
12/3/2010,34,Oxford,39-017-9991,AQS
12/4/2010,32,Oxford,39-017-9991,AQS
12/5/2010,38,Oxford,39-017-9991,AQS
