Date,Ozone_AQI_Value,Site Name,Site ID,Source
4/1/2010,80,Delaware,39-041-0002,AQS
4/2/2010,105,Heath,39-089-0005,AQS
4/3/2010,67,New Albany,39-049-0029,AQS
4/4/2010,61,Delaware,39-041-0002,AQS
4/5/2010,54,Delaware,39-041-0002,AQS
4/6/2010,67,Delaware,39-041-0002,AQS
4/7/2010,50,Delaware,39-041-0002,AQS
4/8/2010,42,New Albany,39-049-0029,AQS
4/9/2010,42,Delaware,39-041-0002,AQS
4/10/2010,61,Delaware,39-041-0002,AQS
4/11/2010,115,Heath,39-089-0005,AQS
4/12/2010,61,Delaware,39-041-0002,AQS
4/13/2010,54,New Albany,39-049-0029,AQS
4/14/2010,61,New Albany,39-049-0029,AQS
4/15/2010,140,New Albany,39-049-0029,AQS
4/16/2010,46,Delaware,39-041-0002,AQS
4/17/2010,48,New Albany,39-049-0029,AQS
4/18/2010,32,London,39-097-0007,AQS
4/19/2010,46,New Albany,39-049-0029,AQS
4/20/2010,58,New Albany,39-049-0029,AQS
4/21/2010,84,Delaware,39-041-0002,AQS
4/22/2010,87,London,39-097-0007,AQS
4/23/2010,74,New Albany,39-049-0029,AQS
4/24/2010,44,New Albany,39-049-0029,AQS
4/25/2010,44,New Albany,39-049-0029,AQS
4/26/2010,42,Delaware,39-041-0002,AQS
4/27/2010,47,New Albany,39-049-0029,AQS
4/28/2010,45,Delaware,39-041-0002,AQS
4/29/2010,71,Heath,39-089-0005,AQS
4/30/2010,74,New Albany,39-049-0029,AQS
5/1/2010,47,New Albany,39-049-0029,AQS
5/2/2010,36,New Albany,39-049-0029,AQS
5/3/2010,77,New Albany,39-049-0029,AQS
5/4/2010,51,Delaware,39-041-0002,AQS
5/5/2010,112,Delaware,39-041-0002,AQS
5/6/2010,46,London,39-097-0007,AQS
5/7/2010,90,New Albany,39-049-0029,AQS
5/8/2010,34,New Albany,39-049-0029,AQS
5/9/2010,46,New Albany,39-049-0029,AQS
5/10/2010,48,Delaware,39-041-0002,AQS
5/11/2010,39,New Albany,39-049-0029,AQS
5/12/2010,24,New Albany,39-049-0029,AQS
5/13/2010,42,Delaware,39-041-0002,AQS
5/14/2010,50,New Albany,39-049-0029,AQS
5/15/2010,61,FRANKLIN_PK,39-049-0037,AQS
5/16/2010,44,Delaware,39-041-0002,AQS
5/17/2010,32,Heath,39-089-0005,AQS
5/18/2010,31,Heath,39-089-0005,AQS
5/19/2010,33,Delaware,39-041-0002,AQS
5/20/2010,74,New Albany,39-049-0029,AQS
5/21/2010,42,New Albany,39-049-0029,AQS
5/22/2010,45,London,39-097-0007,AQS
5/23/2010,100,FRANKLIN_PK,39-049-0037,AQS
5/24/2010,54,London,39-097-0007,AQS
5/25/2010,44,FRANKLIN_PK,39-049-0037,AQS
5/26/2010,87,New Albany,39-049-0029,AQS
5/27/2010,115,New Albany,39-049-0029,AQS
5/28/2010,71,London,39-097-0007,AQS
5/29/2010,80,Heath,39-089-0005,AQS
5/30/2010,126,New Albany,39-049-0029,AQS
5/31/2010,43,New Albany,39-049-0029,AQS
6/1/2010,71,New Albany,39-049-0029,AQS
6/2/2010,105,New Albany,39-049-0029,AQS
6/3/2010,64,New Albany,39-049-0029,AQS
6/4/2010,100,London,39-097-0007,AQS
6/5/2010,39,New Albany,39-049-0029,AQS
6/6/2010,42,New Albany,39-049-0029,AQS
6/7/2010,45,Delaware,39-041-0002,AQS
6/8/2010,51,New Albany,39-049-0029,AQS
6/9/2010,44,New Albany,39-049-0029,AQS
6/10/2010,67,Heath,39-089-0005,AQS
6/11/2010,43,London,39-097-0007,AQS
6/12/2010,38,London,39-097-0007,AQS
6/13/2010,40,New Albany,39-049-0029,AQS
6/14/2010,42,London,39-097-0007,AQS
6/15/2010,51,New Albany,39-049-0029,AQS
6/16/2010,46,Heath,39-089-0005,AQS
6/17/2010,48,New Albany,39-049-0029,AQS
6/18/2010,100,New Albany,39-049-0029,AQS
6/19/2010,58,New Albany,39-049-0029,AQS
6/20/2010,48,London,39-097-0007,AQS
6/21/2010,54,Heath,39-089-0005,AQS
6/22/2010,74,Heath,39-089-0005,AQS
6/23/2010,115,New Albany,39-049-0029,AQS
6/24/2010,50,New Albany,39-049-0029,AQS
6/25/2010,112,Heath,39-089-0005,AQS
6/26/2010,119,New Albany,39-049-0029,AQS
6/27/2010,58,New Albany,39-049-0029,AQS
6/28/2010,48,New Albany,39-049-0029,AQS
6/29/2010,41,Delaware,39-041-0002,AQS
6/30/2010,44,London,39-097-0007,AQS
7/1/2010,47,Heath,39-089-0005,AQS
7/2/2010,46,FRANKLIN_PK,39-049-0037,AQS
7/3/2010,97,Delaware,39-041-0002,AQS
7/4/2010,93,New Albany,39-049-0029,AQS
7/5/2010,90,New Albany,39-049-0029,AQS
7/6/2010,115,New Albany,39-049-0029,AQS
7/7/2010,112,Heath,39-089-0005,AQS
7/8/2010,156,New Albany,39-049-0029,AQS
7/9/2010,34,London,39-097-0007,AQS
7/10/2010,48,Delaware,39-041-0002,AQS
7/11/2010,58,New Albany,39-049-0029,AQS
7/12/2010,51,London,39-097-0007,AQS
7/13/2010,33,New Albany,39-049-0029,AQS
7/14/2010,71,London,39-097-0007,AQS
7/15/2010,80,New Albany,39-049-0029,AQS
